year,month,total_freights
2019,7,4
2019,8,6
2019,9,1
2019,10,2
2019,11,3
2019,12,4
2020,1,5
2020,2,25
2020,3,23
2020,4,27
2020,5,37
2020,6,80
2020,7,139
2020,8,168
2020,9,226
2020,10,179
2020,11,122
2020,12,220
2021,1,167
2021,2,142
2021,3,99
2021,4,76
2021,5,133
2021,6,144
2021,7,181
2021,8,173
2021,9,221
2021,10,218
2021,11,355
2021,12,411
2022,1,440
2022,2,340
2022,3,429
2022,4,429
2022,5,570
2022,6,642
2022,7,810
2022,8,874
2022,9,1042
2022,10,963
2022,11,1230
2022,12,1865
2023,1,1951
2023,2,2485
2023,3,2130
2023,4,2352
2023,5,2785
2023,6,2998
2023,7,3424
2023,8,3566
2023,9,4938
2023,10,5581
2023,11,5522
2023,12,6309
2024,1,5786
2024,2,4337
2024,3,5402
2024,4,5865
2024,5,6069
2024,6,6359
2024,7,7211
2024,8,6516
2024,9,7759
2024,10,6181
2024,11,6499
2024,12,6852
2025,1,6634
2025,2,7143
2025,3,7993
2025,4,7329
