uf,de_type,qt_contratos,media_esforco
AL,Ajudante,2.0,0.07673356786367325
BA,Ajudante,1.5,0.2505204179075723
BA,Coleta/Entrega,2.3333333333333335,0.251094979866211
BA,Diária,3.3333333333333335,0.36358682865331654
CE,Ajudante,3.0,0.3768805173040691
CE,Coleta/Entrega,1.5,0.22854099629975222
CE,Diária,2.0,0.2655265447897458
DF,Ajudante,1.5,0.12880277462830866
DF,Diária,2.5,0.2623979365731366
ES,Ajudante,2.0,0.47888010311655665
ES,Coleta/Entrega,1.6666666666666667,0.3301571627724194
ES,Diária,4.666666666666667,0.157531100802586
GO,Ajudante,2.0,0.30157878238414493
GO,Coleta/Entrega,7.666666666666667,0.3169058423608058
GO,Diária,3.0,0.1419039612528128
MA,Ajudante,1.6666666666666667,0.1958431872243702
MA,Diária,2.0,0.17004331383007232
MG,Ajudante,24.333333333333332,0.4413315281341354
MG,Coleta/Entrega,16.666666666666668,0.31005739366679735
MG,Diária,27.333333333333332,0.2658048826052919
MS,Ajudante,3.3333333333333335,0.38242643540042337
MS,Coleta/Entrega,4.0,0.32738849931758857
MS,Diária,2.0,0.23559416145226592
MT,Ajudante,5.5,0.38384627696062856
MT,Coleta/Entrega,2.0,0.14972530416844002
MT,Diária,5.0,0.13866817433827103
PA,Diária,1.0,0.3178962097209321
PB,Ajudante,3.3333333333333335,0.35721944925883004
PB,Coleta/Entrega,2.0,0.1399723769424485
PB,Diária,1.0,0.41655365411708334
PE,Ajudante,3.5,0.2592862216098466
PE,Coleta/Entrega,2.5,0.193737841736776
PE,Diária,2.5,0.20742737791688295
PR,Ajudante,8.333333333333334,0.24588638155423395
PR,Coleta/Entrega,13.333333333333334,0.21619214861734704
PR,Diária,35.0,0.2589765756956452
RJ,Ajudante,3.0,0.20349533398622022
RJ,Coleta/Entrega,21.0,0.33705751448349114
RJ,Diária,11.0,0.2329602040985891
RN,Diária,1.0,0.03131982361782581
RS,Ajudante,16.0,0.3795222124483792
RS,Coleta/Entrega,14.0,0.27889564988369614
RS,Diária,16.0,0.29639334584761795
SC,Ajudante,10.666666666666666,0.3281862832276283
SC,Coleta/Entrega,25.0,0.3943860904013882
SC,Diária,21.333333333333332,0.23108186973666212
SE,Coleta/Entrega,1.0,0.10022343557704261
SE,Diária,3.5,0.3476387980292308
SP,Ajudante,114.66666666666667,0.4024765876216324
SP,Coleta/Entrega,160.66666666666666,0.31150790328612166
SP,Diária,139.33333333333334,0.2871241217190342
