uf,de_type,total_contratos,qt_motoristas,qt_companies,percentual_cancelados,percentual_atuacao_falcon,preco_medio,preco_medio_referencia,preco_medio_falcon,motorista/contrato,motorista/transportadora
BA,Ajudante,20,8,5,0.5,0.4,133.0375,161.7753445334206,128.375,0.4,1.6
BA,Coleta/Entrega,90,31,12,0.12222222222222222,0.08888888888888889,243.18896688786722,256.1803104998673,237.52586206896552,0.34,2.58
BA,Diária,133,54,25,0.18796992481203006,0.09022556390977443,318.75287896535133,326.8875612955603,300.4166666666667,0.41,2.16
CE,Ajudante,45,7,4,0.24444444444444444,0.24444444444444444,119.33333333333333,161.7753445334206,127.27272727272727,0.16,1.75
CE,Coleta/Entrega,42,10,6,0.11904761904761904,0.07142857142857142,236.04232804232802,256.1803104998673,250.66666666666666,0.24,1.67
CE,Diária,44,15,9,0.06818181818181818,0.09090909090909091,299.0660037878788,326.8875612955603,307.0,0.34,1.67
DF,Diária,30,22,6,0.06666666666666667,0.2,317.0729166666667,326.8875612955603,305.0,0.73,3.67
ES,Ajudante,17,3,3,0.7647058823529411,0.35294117647058826,154.27807486631016,161.7753445334206,165.0,0.18,1.0
ES,Coleta/Entrega,70,12,7,0.07142857142857142,0.08571428571428572,238.08904761904762,256.1803104998673,237.5,0.17,1.71
ES,Diária,73,37,14,0.1506849315068493,0.2191780821917808,317.6286030560003,326.8875612955603,332.85,0.51,2.64
GO,Ajudante,13,1,5,0.6153846153846154,0.46153846153846156,122.17948717948717,161.7753445334206,128.05555555555557,0.08,0.2
GO,Coleta/Entrega,144,34,15,0.1527777777777778,0.16666666666666666,250.80698568539805,256.1803104998673,246.62547892720306,0.24,2.27
GO,Diária,97,43,23,0.1958762886597938,0.1134020618556701,306.5501478528405,326.8875612955603,320.6315789473684,0.44,1.87
MA,Ajudante,21,9,2,0.3333333333333333,0.23809523809523808,127.76190476190476,161.7753445334206,130.6,0.43,4.5
MA,Coleta/Entrega,27,3,2,0.037037037037037035,0.037037037037037035,220.37037037037038,256.1803104998673,230.0,0.11,1.5
MA,Diária,58,27,5,0.3620689655172414,0.13793103448275862,321.4655172413793,326.8875612955603,320.0,0.47,5.4
MG,Ajudante,330,50,26,0.2545454545454545,0.3303030303030303,154.5769513314968,161.7753445334206,148.96941896024464,0.15,1.92
MG,Coleta/Entrega,444,92,38,0.1891891891891892,0.16441441441441443,265.29046641401294,256.1803104998673,257.1732352883038,0.21,2.42
MG,Diária,1010,356,73,0.12178217821782178,0.10693069306930693,294.88127374912796,326.8875612955603,292.5109714541087,0.35,4.88
MS,Ajudante,55,10,2,0.3090909090909091,0.2545454545454545,156.41666666666666,161.7753445334206,149.49404761904762,0.18,5.0
MS,Coleta/Entrega,107,17,4,0.06542056074766354,0.11214953271028037,233.6448598130841,256.1803104998673,227.02380952380952,0.16,4.25
MS,Diária,51,26,13,0.0784313725490196,0.09803921568627451,298.1000408496732,326.8875612955603,327.0,0.51,2.0
MT,Ajudante,35,5,6,0.7142857142857143,0.5142857142857142,171.53015873015875,161.7753445334206,164.27777777777777,0.14,0.83
MT,Coleta/Entrega,38,11,11,0.15789473684210525,0.2631578947368421,266.609649122807,256.1803104998673,262.66666666666663,0.29,1.0
MT,Diária,87,43,16,0.25287356321839083,0.19540229885057472,316.91251256136,326.8875612955603,297.32140735081913,0.49,2.69
PB,Ajudante,20,4,3,0.75,0.55,149.0,161.7753445334206,135.0,0.2,1.33
PB,Coleta/Entrega,23,7,7,0.391304347826087,0.43478260869565216,210.95869565217393,256.1803104998673,204.85,0.3,1.0
PE,Ajudante,33,4,4,0.21212121212121213,0.2727272727272727,127.85353535353536,161.7753445334206,136.01851851851853,0.12,1.0
PE,Coleta/Entrega,69,20,11,0.11594202898550725,0.07246376811594203,238.49222592157372,256.1803104998673,226.4,0.29,1.82
PE,Diária,78,31,16,0.15384615384615385,0.0641025641025641,304.7249354066038,326.8875612955603,307.0,0.4,1.94
PR,Ajudante,92,23,18,0.43478260869565216,0.43478260869565216,173.32114624505928,161.7753445334206,157.55113636363637,0.25,1.28
PR,Coleta/Entrega,345,106,24,0.1681159420289855,0.1565217391304348,289.36088479697054,256.1803104998673,265.74654614932393,0.31,4.42
PR,Diária,1227,406,77,0.14425427872860636,0.10839445802770986,315.38891551795405,326.8875612955603,314.6246994284588,0.33,5.27
RJ,Ajudante,10,4,2,0.4,0.7,204.0,161.7753445334206,201.42857142857142,0.4,2.0
RJ,Coleta/Entrega,448,107,20,0.20535714285714285,0.171875,255.45245374574887,256.1803104998673,258.71424408924406,0.24,5.35
RJ,Diária,267,92,34,0.16853932584269662,0.15355805243445692,297.8968674786101,326.8875612955603,299.6155487804878,0.34,2.71
RO,Diária,11,9,2,0.0,0.09090909090909091,311.3636363636364,326.8875612955603,305.0,0.82,4.5
RS,Ajudante,234,33,18,0.38461538461538464,0.358974358974359,193.2881054131054,161.7753445334206,170.73313492063494,0.14,1.83
RS,Coleta/Entrega,305,71,27,0.1540983606557377,0.2,270.91526860787457,256.1803104998673,257.47677595628414,0.23,2.63
RS,Diária,334,102,38,0.17365269461077845,0.18263473053892215,313.2386025293111,326.8875612955603,307.70753317720533,0.31,2.68
SC,Ajudante,138,22,18,0.2463768115942029,0.34782608695652173,172.9752415458937,161.7753445334206,164.35127314814815,0.16,1.22
SC,Coleta/Entrega,391,85,36,0.1867007672634271,0.23273657289002558,242.11238801215958,256.1803104998673,244.98360486631162,0.22,2.36
SC,Diária,504,199,71,0.23809523809523808,0.1746031746031746,305.46817567245364,326.8875612955603,300.7332176578309,0.39,2.8
SE,Diária,47,8,5,0.1276595744680851,0.2127659574468085,250.09742441209409,326.8875612955603,243.0,0.17,1.6
SP,Ajudante,962,168,59,0.3128898128898129,0.21413721413721415,167.34618612967276,161.7753445334206,157.03463728827808,0.17,2.85
SP,Coleta/Entrega,1195,310,87,0.18744769874476988,0.1916317991631799,264.532300415451,256.1803104998673,254.97179798609932,0.26,3.56
SP,Diária,4029,1120,150,0.1365103003226607,0.07992057582526682,337.1139977051317,326.8875612955603,326.4677774857283,0.28,7.47
SP_RM,Ajudante,1562,208,81,0.31049935979513443,0.19334186939820744,156.59631696373054,161.7753445334206,151.27054843611134,0.13,2.57
SP_RM,Coleta/Entrega,2136,426,109,0.1891385767790262,0.17415730337078653,249.88681559748028,256.1803104998673,249.4413016432152,0.2,3.91
SP_RM,Diária,2347,687,106,0.14912654452492544,0.06902428632296549,344.8878407178175,326.8875612955603,319.84364165498425,0.29,6.48
